"","Year","Rank","Song","Artist","drug_count","num_words","normalized_drug","love_count","normalized_love","st_dev_love","st_dev_drug","song_year","rural_count","normalized_rural","st_dev_rural","money_count","normalized_money","st_dev_money","religion_count","normalized_religion","st_dev_religion","urban_count","normalized_urban","st_dev_urban","sad_count","normalized_sad","st_dev_sad","profane_count","normalized_profane","st_dev_profane"
"1",1965,1,"wooly bully","sam the sham and the pharaohs",0,75,0,0,0,-0.964477848734015,-0.325026576553969,"wooly bully, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,0,0,-0.716459596811933,0,0,-0.276426496154812
"2",1965,2,"i cant help myself sugar pie honey bunch","four tops",0,65,0,14,0.215384615384615,1.3545833863316,-0.325026576553969,"i cant help myself sugar pie honey bunch, 1965",5,0.0769230769230769,2.18826439210255,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,3,0.0461538461538462,0.244144701175901,0,0,-0.276426496154812
"3",1965,4,"you were on my mind","we five",0,51,0,0,0,-0.964477848734015,-0.325026576553969,"you were on my mind, 1965",1,0.0196078431372549,0.210565331648335,0,0,-0.313124653299812,0,0,-0.264905944837579,1,0.0196078431372549,0.571215943471353,2,0.0392156862745098,0.0997401335045276,0,0,-0.276426496154812
"4",1965,5,"youve lost that lovin feelin","the righteous brothers",0,89,0,16,0.179775280898876,0.971175188559921,-0.325026576553969,"youve lost that lovin feelin, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,1,0.0112359550561798,-0.482604617901037,0,0,-0.276426496154812
"5",1965,7,"help","the beatles",0,44,0,3,0.0681818181818182,-0.230359438283048,-0.325026576553969,"help, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,0,0,-0.716459596811933,0,0,-0.276426496154812
"6",1965,8,"cant you hear my heart beat","hermans hermits",0,96,0,27,0.28125,2.06376059437622,-0.325026576553969,"cant you hear my heart beat, 1965",2,0.0208333333333333,0.252851660243573,0,0,-0.313124653299812,0,0,-0.264905944837579,1,0.0104166666666667,0.118574366984291,0,0,-0.716459596811933,0,0,-0.276426496154812
"7",1965,9,"crying in the chapel","elvis presley",1,61,0.0163934426229508,0,0,-0.964477848734015,0.715393007000859,"crying in the chapel, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,3,0.0491803278688525,3.41343273536199,0,0,-0.394419419701046,4,0.0655737704918033,0.648333394864771,0,0,-0.276426496154812
"8",1965,10,"my girl","the temptations",0,60,0,17,0.283333333333333,2.08619199025112,-0.325026576553969,"my girl, 1965",1,0.0166666666666667,0.109078143019763,3,0.05,2.02932184525246,0,0,-0.264905944837579,0,0,-0.394419419701046,3,0.05,0.324195059341554,0,0,-0.276426496154812
"9",1965,11,"help me rhonda","the beach boys",0,84,0,6,0.0714285714285714,-0.195401418737764,-0.325026576553969,"help me rhonda, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,0,0,-0.716459596811933,0,0,-0.276426496154812
"10",1965,12,"king of the road","roger miller",1,77,0.012987012987013,0,0,-0.964477848734015,0.499201924703752,"king of the road, 1965",2,0.025974025974026,0.430234571104117,0,0,-0.313124653299812,0,0,-0.264905944837579,2,0.025974025974026,0.884733918527326,0,0,-0.716459596811933,0,0,-0.276426496154812
"11",1965,13,"the birds and the bees","jewel akens",0,65,0,5,0.0769230769230769,-0.136241693353437,-0.325026576553969,"the birds and the bees, 1965",1,0.0153846153846154,0.0648401377201296,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,0,0,-0.716459596811933,0,0,-0.276426496154812
"12",1965,16,"i got you babe","sonny  cher",1,61,0.0163934426229508,6,0.0983606557377049,0.0945782188018063,0.715393007000859,"i got you babe, 1965",1,0.0163934426229508,0.0996503713985298,2,0.0327868852459016,1.22290583755414,0,0,-0.264905944837579,0,0,-0.394419419701046,1,0.0163934426229508,-0.375261348892757,0,0,-0.276426496154812
"13",1965,18,"the in crowd","ramsey lewis trio",0,1,0,0,0,-0.964477848734015,-0.325026576553969,"the in crowd, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,0,0,-0.716459596811933,0,0,-0.276426496154812
"14",1965,19,"mrs brown youve got a lovely daughter","hermans hermits",0,72,0,4,0.0555555555555556,-0.366307292070264,-0.325026576553969,"mrs brown youve got a lovely daughter, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,0,0,-0.264905944837579,0,0,-0.394419419701046,1,0.0138888888888889,-0.42738885899152,0,0,-0.276426496154812
"15",1965,20,"stop in the name of love","the supremes",0,80,0,20,0.25,1.72728965625286,-0.325026576553969,"stop in the name of love, 1965",0,0,-0.466015925875474,0,0,-0.313124653299812,0,0,-0.264905944837579,1,0.0125,0.221173124321358,12,0.15,2.40550437164853,0,0,-0.276426496154812
"16",1965,21,"unchained melody","the righteous brothers",0,77,0,18,0.233766233766234,1.55249955852644,-0.325026576553969,"unchained melody, 1965",4,0.051948051948052,1.32648506808371,0,0,-0.313124653299812,2,0.025974025974026,1.67776643171804,0,0,-0.394419419701046,6,0.0779220779220779,0.905339867323372,0,0,-0.276426496154812
