"","x"
"1","money"
"2","cash"
"3","dolla"
"4","dollar"
"5","benjamins "
"6","band"
"7","green"
"8","rack"
"9","ten"
"10","twenti"
"11","singl"
"12","one"
"13","hundr"
"14","hunnid"
"15","milli"
"16","million"
"17","ring"
"18","chain"
"19","grill"
"20","wealth"
"21","affluenc"
"22","greed"
"23","stock"
"24","fortun"
"25","financ"
"26","jewel"
"27","diamond"
"28","gold"
"29","silver"
"30","rich"
"31","wealth"
"32","power"
"33","capit"
"34","estat"
"35","inherit"
"36","heir"
